# numero;nombre;partido_numero;provincia_numero
527,SANTO DOMINGO,80,1
528,AREA DE PROMOCION EL TRIANGULO,81,1
529,GRAND BOURG,81,1
530,INGENIERO ADOLFO SOURDEAUX,81,1
531,INGENIERO PABLO NOGUES,81,1
532,LOS POLVORINES,81,1
533,MALVINAS ARGENTINAS,81,1
534,TORTUGUITAS,81,1
535,VILLA DE MAYO,81,1
536,ATLANTIDA,82,1
537,CAMET NORTE,82,1
538,CORONEL VIDAL,82,1
539,FRENTE MAR,82,1
540,GENERAL PIRAN,82,1
541,LA ARMONIA,82,1
542,LA BALIZA,82,1
543,LA CALETA,82,1
544,MAR CHIQUITA,82,1
545,MAR DE COBO,82,1
546,PLAYA DORADA,82,1
547,SANTA CLARA DEL MAR,82,1
548,SANTA ELENA,82,1
549,VIVORATA,82,1
550,BARRIO LISANDRO DE LA TORRE Y SANTA MARTA,83,1
551,MARCOS PAZ,83,1
552,GOWLAND,84,1
553,JORGE BORN,84,1
554,MERCEDES,84,1
555,LIBERTAD,85,1
556,MARIANO ACOSTA,85,1
557,MERLO,85,1
558,PONTEVEDRA,85,1
559,SAN ANTONIO DE PADUA,85,1
560,ABBOTT,86,1
561,SAN MIGUEL DEL MONTE,86,1
562,ZENON VIDELA DORNA,86,1
563,BALNEARIO SAUCE GRANDE,87,1
564,MONTE HERMOSO,87,1
565,CUARTEL V,88,1
566,FRANCISCO ALVAREZ,88,1
567,LA REJA,88,1
568,MORENO,88,1
569,PASO DEL REY,88,1
570,TRUJUI,88,1
571,CASTELAR,89,1
572,EL PALOMAR,89,1
573,HAEDO,89,1
574,MORON,89,1
575,VILLA SARMIENTO,89,1
576,JOSE JUAN ALMEYRA,90,1
577,LAS MARIANAS,90,1
578,NAVARRO,90,1
579,VILLA MOLL,90,1
580,CLARAZ,91,1
581,COSTA BONITA,91,1
582,JUAN N. FERNANDEZ,91,1
583,NECOCHEA,91,1
584,NECOCHEA - QUEQUEN,91,1
585,NICANOR OLIVERA,91,1
586,QUEQUEN,91,1
587,RAMON SANTAMARINA,91,1
588,COLONIA HINOJO,92,1
589,COLONIA SAN MIGUEL,92,1
590,ESPIGAS,92,1
591,HINOJO,92,1
592,OLAVARRIA,92,1
593,RECALDE,92,1
594,SANTA LUISA,92,1
595,SIERRA CHICA,92,1
596,SIERRAS BAYAS,92,1
597,VILLA ALFREDO FORTABAT,92,1
598,VILLA ARRIETA,92,1
599,VILLA LA SERRANIA,92,1
600,BAHIA SAN BLAS,93,1
601,CARDENAL CAGLIERO,93,1
602,CARMEN DE PATAGONES,93,1
603,JOSE B. CASAS,93,1
604,JUAN A. PRADERE,93,1
605,STROEDER,93,1
606,VILLALONGA,93,1
